"id","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","QScreen1","QScreen2","QBHI0","QBHI1","QBHI2","QBHI3","QBHI4","QFeelings_1","QFeelings_2","QFeelings_3","QFeelings_4","QFeelings_5","QFeelings_6","QFeelings_7","QFeelings_8","QJew1","QJew2","QJew3","QJew4","QJew5","QJew6","QHit1","QHit2","QHit3","QHit4","QVio1","QVio2","QVio3","QDemo1","QDemo2","QDemo3","QDemo6","QDemo7","QDemo8","QDemo9","QDemo10","opp","gc","term","transaction_id","SVID","PS","rid","RISN","V","LS","Q_BallotBoxStuffing","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RecaptchaScore","Q_RelevantIDFraudScore","Q_TotalDuration","wt"
1,"45118.442604166667","45118.444120370368","IP Address","100","130","True","45118.444132037039","R_DM0JdYAwbgX2y2t","anonymous","EN","Black or African American","No","The Old Testament","Not familiar at all","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","50","49","52","50","55","54","53","65","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Somewhat support","Neither support nor oppose","Neither support nor oppose","No","30","Female","Other","Democrat","Moderate","Some college","Several times a day","Qual29638-0130-BlackandNonBlack","1",NA,"4fMuMck5CAPFpDu5bT7ePM","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"130",0.6081093841154244
2,"45118.441643518519","45118.444398148145","IP Address","100","237","True","45118.444411388889","R_1KwYTtVKWpNkbyF","anonymous","EN","White","No","The Old Testament","Moderately familiar","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","67","70","40","65","74","79","51","66","Neither agree nor disagree","Strongly disagree",NA,"Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Somewhat oppose","Somewhat support","Strongly support","Strongly oppose","Neither support nor oppose","Neither support nor oppose","No","53","Female","None","Democrat","Moderate","High school graduate","Several times a week","Qual29638-0130-BlackandNonBlack","1",NA,"5mYOeFw2Z7VQlp5E4mgUdY","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"237",5.0000985860302105
3,"45118.443171296298","45118.446261574078","IP Address","100","266","True","45118.446276319446","R_2xFz56UTAFTzP1i","anonymous","EN","White","No","The Old Testament","Not familiar at all","Strongly disagree","Strongly disagree","Neither agree nor disagree","41","62","46","63","40","46","37","42","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree",NA,NA,"Somewhat disagree","Somewhat oppose","Strongly oppose","Somewhat support","Somewhat support","Strongly oppose","Strongly oppose","Somewhat oppose","No","40","Female","None","Independent","Moderate","4 year degree","Several times a day","Qual29638-0130-BlackandNonBlack","1",NA,"2nbPVx61A9I3nEdsyUNY0J","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"266",1.1814990255244586
4,"45118.444907407407","45118.446875000001","IP Address","100","169","True","45118.446886168982","R_3QVuqyXSjT0BKAV","anonymous","EN","White","No","The Old Testament","Moderately familiar","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","78","78","80","87","100","80","50","80","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither support nor oppose","Somewhat oppose","Strongly support","Strongly support","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","No","31","Female","Other","Independent","Somewhat conservative","Some college","Several times a day","Qual29638-0130-BlackandNonBlack","1",NA,"6HOKLX9WB1oYLTQKWfPvEy","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169",0.6891714781059215
5,"45118.441944444443","45118.446956018517","IP Address","100","433","True","45118.446982407404","R_7QcCLoQZsXb7BdL","anonymous","EN","White","No","The Old Testament","Not familiar at all","Somewhat disagree","Somewhat agree","Somewhat disagree","50","50","50","50","50","50","50","50","Strongly disagree","Strongly disagree","Strongly disagree",NA,NA,"Strongly disagree","Strongly oppose","Neither support nor oppose","Somewhat support","Strongly support","Strongly oppose","Strongly oppose","Neither support nor oppose","No","55","Male","Protestant","Republican","Moderate","4 year degree","Once a day","Qual29638-0130-BlackandNonBlack","1",NA,"6pNVMNrEpw8BlTldIJkFot","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"433",5.0000985860302105
6,"45118.444293981483","45118.447754629633","IP Address","100","299","True","45118.447771689818","R_2TmGkVmZNpXQNOY","anonymous","EN","White","No","The Old Testament","Slightly familiar","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","74","100","52","58","72","63","34","72","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly oppose","Strongly oppose","Somewhat support","Somewhat support","Somewhat oppose","Strongly oppose","Strongly oppose","No","53","Female","Protestant","Republican","Somewhat conservative","4 year degree","Several times a week","Qual29638-0130-BlackandNonBlack","1",NA,"37UBjSa6KXzwW42ULGCzJv","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"299",4.360448425327739
7,"45118.444189814814","45118.447951388887","IP Address","100","324","True","45118.447967268519","R_3iLpUTlZijm6r2J","anonymous","EN","White","No","The Old Testament","Slightly familiar","Neither agree nor disagree","Somewhat disagree","Somewhat agree","78","79","79","79","87","77","76","78","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Neither support nor oppose","Strongly oppose","Strongly oppose","Somewhat support","Neither support nor oppose","Strongly support","No","75","Male","Catholic","Democrat","Moderate","4 year degree","Once a day","Qual29638-0130-BlackandNonBlack","1",NA,"1HajOg5w7bclTkilD8XgRl","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"324",5.0000985860302105
8,"45118.444861111115","45118.44803240741","IP Address","100","273","True","45118.448043113429","R_10N8CtkRmc05Kj9","anonymous","EN","White","No","The Old Testament","Extremely familiar","Somewhat agree","Somewhat agree","Somewhat agree","100","99","71","75","100","99","37","95","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Neither support nor oppose","Strongly support","Strongly support","Neither support nor oppose","Strongly oppose","Neither support nor oppose","No","66","Female","Protestant","Republican","Very conservative","4 year degree","Several times a week","Qual29638-0130-BlackandNonBlack","1",NA,"4KaSrrfX9AoGImEvhRzcEd","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"273",5.0000985860302105
9,"45118.445613425924","45118.448449074072","IP Address","100","245","True","45118.448465775466","R_6fyJhjRdo3MKJgZ","anonymous","EN","White","No","The Old Testament","Slightly familiar","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","100","100","100","100","100","100","100","100","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly oppose","Strongly oppose","Strongly support","Strongly support","Strongly oppose","Strongly oppose","Strongly oppose","No","25","Female","Other","Republican","Very conservative","2 year degree","Several times a day","Qual29638-0130-BlackandNonBlack","1",NA,"109VkDK8KybMsrwIrfwXsO","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"245",0.5414511163915667
10,"45118.445810185185","45118.448622685188","IP Address","100","243","True","45118.448639224538","R_31ZtVyG1moZAi45","anonymous","EN","White","No","The Old Testament","Very familiar","Somewhat agree","Somewhat agree","Strongly agree","85","100","85","100","87","100","85","100","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly oppose","Strongly oppose","Strongly support","Somewhat support","Strongly oppose","Strongly oppose","Strongly oppose","No","63","Female","Jewish","Democrat","Moderate","4 year degree","Once a day","Qual29638-0130-BlackandNonBlack","1",NA,"2t7awaoHnRnGFzumVdAoGf","17214459","904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"243",5.0000985860302105
