"id","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","QScreen1","QScreen2","QBHI0","QBHI1","QBHI2","QBHI3","QBHI4","QFeelings_1","QFeelings_2","QFeelings_3","QFeelings_4","QFeelings_5","QFeelings_6","QFeelings_7","QFeelings_8","QJew1","QJew2","QJew3","QJew4","QJew5","QJew6","QHit1","QHit2","QHit3","QHit4","QVio1","QVio2","QVio3","QDemo1","QDemo2","QDemo3","QDemo6","QDemo7","QDemo8","QDemo9","QDemo10","opp","gc","term","transaction_id","SVID","PS","rid","RISN","V","LS","Q_BallotBoxStuffing","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RecaptchaScore","Q_RelevantIDFraudScore","Q_TotalDuration","wt","Black","IDed.BHI","BHI.Believer"
1,45118.4426041667,45118.4441203704,"IP Address",100,130,"True",45118.444132037,"R_DM0JdYAwbgX2y2t","anonymous","EN","Black or African American","No","The Old Testament","Not familiar at all","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",50,49,52,50,55,54,53,65,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","Somewhat support","Neither support nor oppose","Neither support nor oppose","No",30,"Female","Other","Democrat","Moderate","Some college","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"4fMuMck5CAPFpDu5bT7ePM",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,0.608109384115424,"Black",FALSE,FALSE
2,45118.4416435185,45118.4443981482,"IP Address",100,237,"True",45118.4444113889,"R_1KwYTtVKWpNkbyF","anonymous","EN","White","No","The Old Testament","Moderately familiar","Somewhat disagree","Somewhat disagree","Neither agree nor disagree",67,70,40,65,74,79,51,66,"Neither agree nor disagree","Strongly disagree",NA,"Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Somewhat oppose","Somewhat support","Strongly support","Strongly oppose","Neither support nor oppose","Neither support nor oppose","No",53,"Female","None","Democrat","Moderate","High school graduate","Several times a week","Qual29638-0130-BlackandNonBlack",1,NA,"5mYOeFw2Z7VQlp5E4mgUdY",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,5.00009858603021,"Nonblack",FALSE,FALSE
3,45118.4431712963,45118.4462615741,"IP Address",100,266,"True",45118.4462763194,"R_2xFz56UTAFTzP1i","anonymous","EN","White","No","The Old Testament","Not familiar at all","Strongly disagree","Strongly disagree","Neither agree nor disagree",41,62,46,63,40,46,37,42,"Somewhat agree","Neither agree nor disagree","Neither agree nor disagree",NA,NA,"Somewhat disagree","Somewhat oppose","Strongly oppose","Somewhat support","Somewhat support","Strongly oppose","Strongly oppose","Somewhat oppose","No",40,"Female","None","Independent","Moderate","4 year degree","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"2nbPVx61A9I3nEdsyUNY0J",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,1.18149902552446,"Nonblack",FALSE,FALSE
4,45118.4449074074,45118.446875,"IP Address",100,169,"True",45118.446886169,"R_3QVuqyXSjT0BKAV","anonymous","EN","White","No","The Old Testament","Moderately familiar","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree",78,78,80,87,100,80,50,80,"Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither support nor oppose","Somewhat oppose","Strongly support","Strongly support","Neither support nor oppose","Neither support nor oppose","Neither support nor oppose","No",31,"Female","Other","Independent","Somewhat conservative","Some college","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"6HOKLX9WB1oYLTQKWfPvEy",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,0.689171478105921,"Nonblack",FALSE,FALSE
5,45118.4419444444,45118.4469560185,"IP Address",100,433,"True",45118.4469824074,"R_7QcCLoQZsXb7BdL","anonymous","EN","White","No","The Old Testament","Not familiar at all","Somewhat disagree","Somewhat agree","Somewhat disagree",50,50,50,50,50,50,50,50,"Strongly disagree","Strongly disagree","Strongly disagree",NA,NA,"Strongly disagree","Strongly oppose","Neither support nor oppose","Somewhat support","Strongly support","Strongly oppose","Strongly oppose","Neither support nor oppose","No",55,"Male","Protestant","Republican","Moderate","4 year degree","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"6pNVMNrEpw8BlTldIJkFot",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,5.00009858603021,"Nonblack",FALSE,FALSE
6,45118.4442939815,45118.4477546296,"IP Address",100,299,"True",45118.4477716898,"R_2TmGkVmZNpXQNOY","anonymous","EN","White","No","The Old Testament","Slightly familiar","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree",74,100,52,58,72,63,34,72,"Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly oppose","Strongly oppose","Somewhat support","Somewhat support","Somewhat oppose","Strongly oppose","Strongly oppose","No",53,"Female","Protestant","Republican","Somewhat conservative","4 year degree","Several times a week","Qual29638-0130-BlackandNonBlack",1,NA,"37UBjSa6KXzwW42ULGCzJv",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,4.36044842532774,"Nonblack",FALSE,FALSE
7,45118.4441898148,45118.4479513889,"IP Address",100,324,"True",45118.4479672685,"R_3iLpUTlZijm6r2J","anonymous","EN","White","No","The Old Testament","Slightly familiar","Neither agree nor disagree","Somewhat disagree","Somewhat agree",78,79,79,79,87,77,76,78,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Neither support nor oppose","Strongly oppose","Strongly oppose","Somewhat support","Neither support nor oppose","Strongly support","No",75,"Male","Catholic","Democrat","Moderate","4 year degree","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"1HajOg5w7bclTkilD8XgRl",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,5.00009858603021,"Nonblack",FALSE,FALSE
8,45118.4448611111,45118.4480324074,"IP Address",100,273,"True",45118.4480431134,"R_10N8CtkRmc05Kj9","anonymous","EN","White","No","The Old Testament","Extremely familiar","Somewhat agree","Somewhat agree","Somewhat agree",100,99,71,75,100,99,37,95,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly oppose","Neither support nor oppose","Strongly support","Strongly support","Neither support nor oppose","Strongly oppose","Neither support nor oppose","No",66,"Female","Protestant","Republican","Very conservative","4 year degree","Several times a week","Qual29638-0130-BlackandNonBlack",1,NA,"4KaSrrfX9AoGImEvhRzcEd",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,5.00009858603021,"Nonblack",FALSE,TRUE
9,45118.4456134259,45118.4484490741,"IP Address",100,245,"True",45118.4484657755,"R_6fyJhjRdo3MKJgZ","anonymous","EN","White","No","The Old Testament","Slightly familiar","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",100,100,100,100,100,100,100,100,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly oppose","Strongly oppose","Strongly support","Strongly support","Strongly oppose","Strongly oppose","Strongly oppose","No",25,"Female","Other","Republican","Very conservative","2 year degree","Several times a day","Qual29638-0130-BlackandNonBlack",1,NA,"109VkDK8KybMsrwIrfwXsO",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,0.541451116391567,"Nonblack",FALSE,FALSE
10,45118.4458101852,45118.4486226852,"IP Address",100,243,"True",45118.4486392245,"R_31ZtVyG1moZAi45","anonymous","EN","White","No","The Old Testament","Very familiar","Somewhat agree","Somewhat agree","Strongly agree",85,100,85,100,87,100,85,100,"Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly oppose","Strongly oppose","Strongly support","Somewhat support","Strongly oppose","Strongly oppose","Strongly oppose","No",63,"Female","Jewish","Democrat","Moderate","4 year degree","Once a day","Qual29638-0130-BlackandNonBlack",1,NA,"2t7awaoHnRnGFzumVdAoGf",17214459,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,5.00009858603021,"Nonblack",FALSE,TRUE
